FIND_MAX_NUMBER_OF_GROUP_MEMBERS                       0x7E154274   int FIND_MAX_NUMBER_OF_GROUP_MEMBERS(void)
FIND_NEAREST_ENTITIES_WITH_SPECIAL_ATTRIBUTE           0x35261C6    void FIND_NEAREST_ENTITIES_WITH_SPECIAL_ATTRIBUTE(float x, float y, float z)
FIND_NETWORK_RESTART_POINT                             0x66F445BB   -
FIND_STATIC_EMITTER_INDEX                              0x64793A54   int FIND_STATIC_EMITTER_INDEX(char *StaticEmitterName)
FIND_TRAIN_DIRECTION                                   0x13C1EB7    int FIND_TRAIN_DIRECTION(Vehicle train)
FINISH_STREAMING_REQUEST_LIST                          0x1788346E   void FINISH_STREAMING_REQUEST_LIST(void)
FIX_AMBIENCE_ORIENTATION                               0x788F7A03   void FIX_AMBIENCE_ORIENTATION(boolean fix)
FIX_SCRIPT_MIC_TO_CURRENT_POSISITION                   0x456C0C43   void FIX_SCRIPT_MIC_TO_CURRENT_POSISITION(void)
FLASH_RADAR                                            0x265F6FF5   void FLASH_RADAR(boolean flash)
FLUSH_ALL_PLAYER_RESPAWN_COORDS                        0x187B3202   -
FLUSH_PATROL_ROUTE                                     0x15F4F3E    void FLUSH_PATROL_ROUTE(void)
FORCE_ALL_VEHICLE_LIGHTS_OFF                           0xCE96445    void FORCE_ALL_VEHICLE_LIGHTS_OFF(boolean off)
FORCE_GAME_TELESCOPE_CAM                               0x1C51E90    void FORCE_GAME_TELESCOPE_CAM(boolean force)
FORCE_GENERATE_PARKED_CARS_TOO_CLOSE_TO_OTHERS         0x1B8F031D   void FORCE_GENERATE_PARKED_CARS_TOO_CLOSE_TO_OTHERS(boolean set)
FORCE_INTERIOR_LIGHTING_FOR_PLAYER                     0x45DF1D92   void FORCE_INTERIOR_LIGHTING_FOR_PLAYER(int player, boolean force)
FORCE_NET_PLAYER_INVISIBLE                             0x162D395E   -
FORCE_NOISE_OFF                                        0xCC0186A    void FORCE_NOISE_OFF(boolean off)
FORCE_POPULATION_INIT                                  0x42180729   void FORCE_POPULATION_INIT(void)
FORCE_RANDOM_CAR_MODEL                                 0x521D0D5B   void FORCE_RANDOM_CAR_MODEL(uint hash)
FORCE_RANDOM_PED_TYPE                                  0x57E37103   void FORCE_RANDOM_PED_TYPE(uint type)
FREEZE_OBJECT_POSITION_AND_DONT_LOAD_COLLISION         0x668F64C7   void FREEZE_OBJECT_POSITION_AND_DONT_LOAD_COLLISION(Object obj, boolean freeze)
FREEZE_ONSCREEN_TIMER                                  0x4B8B6F24   void FREEZE_ONSCREEN_TIMER(boolean freeze)
GENERATE_RANDOM_FLOAT                                  0x380C142A   void GENERATE_RANDOM_FLOAT(float *)
GENERATE_RANDOM_INT                                    0x335D0F34   void GENERATE_RANDOM_INT(int *)
GET_ACCEPT_BUTTON                                      0x530F4572   int GET_ACCEPT_BUTTON(void)
GET_ASCII_JUST_PRESSED                                 0x92829D0    int GET_ASCII_JUST_PRESSED(int key, int)
GET_ASCII_PRESSED                                      0x495F399D   boolean GET_ASCII_PRESSED(int key, int *)
GET_ASPECT_RATIO                                       0x36600272   float GET_ASPECT_RATIO(void)
GET_AUDIO_ROOM_ID                                      0x3AC3097    int GET_AUDIO_ROOM_ID(void)
GET_BLIP_ALPHA                                         0x61497585   void GET_BLIP_ALPHA(int blip, int *alpha)
GET_BLIP_INFO_ID_ROTATION                              0x6FBA4274   int GET_BLIP_INFO_ID_ROTATION(int blip)
GET_BUFFERED_ASCII                                     0x21F43531   boolean GET_BUFFERED_ASCII(int key, int *)
GET_CAM_FAR_CLIP                                       0x752643C9   void GET_CAM_FAR_CLIP(int cam, float *clip)
GET_CAM_FAR_DOF                                        0x1CB27FE1   void GET_CAM_FAR_DOF(int cam, float *fardof)
GET_CAM_MOTION_BLUR                                    0x64EF411D   void GET_CAM_MOTION_BLUR(int cam, int *blur)
GET_CAM_NEAR_CLIP                                      0x2EF477FD   void GET_CAM_NEAR_CLIP(int cam, float *clip)
GET_CAM_NEAR_DOF                                       0x50D15F0D   void GET_CAM_NEAR_DOF(int cam, float *dof)
GET_CAM_STATE                                          0x22AA0984   int GET_CAM_STATE(int cam)
GET_CAR_ANIM_CURRENT_TIME                              0x5B580DCC   void GET_CAR_ANIM_CURRENT_TIME(Car car, char *animname0, char *animname1, float *time)
GET_CAR_ANIM_TOTAL_TIME                                0x295C34B8   void GET_CAR_ANIM_TOTAL_TIME(Car car, char *animname0, char *animname1, float *time)
